,views
2355,1323235
293,522550
305,411647
913,1451656
1885,3811316
146,1712075
2130,2432449
1574,871453
230,230569
1661,2120292
1071,659450
1292,1233545
979,571200
1804,1356917
1981,1396735
478,717483
2007,20475972
1962,1349253
1176,1280380
2120,809398
1407,2155416
625,603657
39,718649
80,1920434
946,841471
73,1392010
556,2835976
2271,1138566
1135,271344
2086,1431262
2289,1086882
1550,1233104
1415,4032150
541,3157446
507,771962
1593,1256969
488,1014285
1611,1736329
1617,7015800
1017,957219
1128,117756
2382,1363680
462,1471039
1992,857839
1978,1879260
861,1202928
526,2543750
1794,972816
1297,8105311
283,1008394
1338,824898
872,929077
590,876649
64,1335732
2075,1031398
1626,1038727
729,1499219
2074,1060918
352,1765153
953,1529057
1699,3804535
2206,951340
34,705389
2253,827288
1577,853612
19,1106561
622,3362099
2112,1116194
1417,1421509
1732,903111
1177,811778
163,1527858
2053,1132964
198,1004893
408,391427
142,2063367
22,518624
204,473165
1005,618729
641,1231159
1115,490092
2185,2561564
1784,1278162
888,498409
1730,772907
1648,1194762
531,541603
1123,1281099
399,1607397
2223,782276
640,1294171
1496,740772
719,829399
390,630784
935,3729820
1811,2610440
138,1013063
1657,1117996
2334,973376
1665,1569284
1828,1135382
952,822884
2146,778960
1916,2603397
1483,3338820
128,524049
1614,1095806
160,876658
931,2204314
1399,12039978
1220,856136
420,589931
1875,1310078
1988,3185521
286,1714168
1359,796884
1754,952385
1787,1948196
1248,983172
1079,613676
2434,450430
1562,3170206
135,416603
2213,990521
211,8655723
1704,1000194
2014,764500
274,504508
2137,1730653
88,2676717
750,7431179
2128,1538107
298,1110781
2402,834190
1711,3247638
2002,16601927
1363,2025005
1595,1474261
103,1683456
1969,1418492
2105,929167
926,484266
1951,1506693
365,398835
2109,1624428
528,297107
44,2434344
308,433202
448,462619
571,4375111
1791,712971
599,523422
1488,3665885
833,1021180
941,16861578
62,2441805
986,698388
1188,509747
332,363202
2144,1677142
1662,1032390
1249,625454
