,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr,total_runtime
24,22.0,nadam,mse,relu,relu,50.0,32.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
25,23.0,nadam,mse,relu,relu,50.0,32.0,5.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
26,24.0,nadam,mse,relu,relu,50.0,32.0,10.0,1.0,1.0,0.0,6371500097536.0,6371500097536.0,1612855.0,98.3463134765625,1.0,2524183.0,20.726478576660156,0.5289031736657247,0 days 09:08:40.950942
27,25.0,nadam,mse,relu,relu,50.0,32.0,10.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
28,26.0,nadam,mse,relu,relu,50.0,32.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
29,27.0,nadam,mse,relu,relu,50.0,100.0,1.0,1.0,1.0,0.0,6477885997056.0,6477885997056.0,1633074.625,99.90581512451172,1.0,2545169.25,54.51511764526367,0.5289031736657247,0 days 09:08:40.950942
30,28.0,nadam,mse,relu,relu,50.0,100.0,1.0,1.0,5.0,0.0,6474091724800.0,6474091724800.0,1632361.5,99.85081481933594,1.0,2544423.75,48.00617218017578,0.5289031736657247,0 days 09:08:40.950942
31,29.0,nadam,mse,relu,relu,50.0,100.0,1.0,1.0,10.0,0.0,6459333017600.0,6459333017600.0,1629583.5,99.63663482666016,1.0,2541521.75,36.576866149902344,0.5289031736657247,0 days 09:08:40.950942
32,30.0,nadam,mse,relu,relu,50.0,100.0,5.0,1.0,1.0,0.0,6476695863296.0,6476695863296.0,1632852.625,99.88880920410156,1.0,2544935.25,52.16315841674805,0.5289031736657247,0 days 09:08:40.950942
33,31.0,nadam,mse,relu,relu,50.0,100.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
34,32.0,nadam,mse,relu,relu,50.0,100.0,5.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
35,33.0,nadam,mse,relu,relu,50.0,100.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
36,34.0,nadam,mse,relu,relu,50.0,100.0,10.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
37,35.0,nadam,mse,relu,relu,50.0,100.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
38,36.0,nadam,mse,relu,relu,100.0,1.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
39,37.0,nadam,mse,relu,relu,100.0,1.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
40,38.0,nadam,mse,relu,relu,100.0,1.0,1.0,1.0,10.0,0.0,4499933495296.0,4499933495296.0,1017241.125,63.900550842285156,1.0,2121304.75,0.817269504070282,0.5289031736657247,0 days 09:08:40.950942
41,39.0,nadam,mse,relu,relu,100.0,1.0,5.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
42,40.0,nadam,mse,relu,relu,100.0,1.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
43,41.0,nadam,mse,relu,relu,100.0,1.0,5.0,1.0,10.0,0.0,4460492881920.0,4460492881920.0,1016492.875,63.49024200439453,1.0,2111988.0,0.8316284418106079,0.5289031736657247,0 days 09:08:40.950942
44,42.0,nadam,mse,relu,relu,100.0,1.0,10.0,1.0,1.0,0.0,4529966284800.0,4529966284800.0,1016715.6875,64.19200134277344,1.0,2128371.75,0.7967401146888733,0.5289031736657247,0 days 09:08:40.950942
45,43.0,nadam,mse,relu,relu,100.0,1.0,10.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
46,44.0,nadam,mse,relu,relu,100.0,1.0,10.0,1.0,10.0,0.0,4531583713280.0,4531583713280.0,1015858.625,64.19335174560547,1.0,2128751.75,0.7884653806686401,0.5289031736657247,0 days 09:08:40.950942
47,45.0,nadam,mse,relu,relu,100.0,10.0,1.0,1.0,1.0,0.0,5632511442944.0,5632511442944.0,1459756.25,86.42858123779297,1.0,2373291.25,6.2287797927856445,0.5289031736657247,0 days 09:08:40.950942
48,46.0,nadam,mse,relu,relu,100.0,10.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
49,47.0,nadam,mse,relu,relu,100.0,10.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
50,48.0,nadam,mse,relu,relu,100.0,10.0,5.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
51,49.0,nadam,mse,relu,relu,100.0,10.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
52,50.0,nadam,mse,relu,relu,100.0,10.0,5.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
53,51.0,nadam,mse,relu,relu,100.0,10.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
54,52.0,nadam,mse,relu,relu,100.0,10.0,10.0,1.0,5.0,0.0,4249921257472.0,4249921257472.0,1116915.75,62.80864715576172,1.0,2061533.75,1.6688095331192017,0.5289031736657247,0 days 09:08:40.950942
55,53.0,nadam,mse,relu,relu,100.0,10.0,10.0,1.0,10.0,0.0,4155167211520.0,4155167211520.0,1055159.625,60.97450637817383,1.0,2038422.75,1.2535685300827026,0.5289031736657247,0 days 09:08:40.950942
56,54.0,nadam,mse,relu,relu,100.0,32.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
57,55.0,nadam,mse,relu,relu,100.0,32.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
58,56.0,nadam,mse,relu,relu,100.0,32.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
59,57.0,nadam,mse,relu,relu,100.0,32.0,5.0,1.0,1.0,0.0,6100997373952.0,6100997373952.0,1559121.375,94.2009506225586,1.0,2470019.75,11.075222969055176,0.5289031736657247,0 days 09:08:40.950942
60,58.0,nadam,mse,relu,relu,100.0,32.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
61,59.0,nadam,mse,relu,relu,100.0,32.0,5.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
62,60.0,nadam,mse,relu,relu,100.0,32.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
63,61.0,nadam,mse,relu,relu,100.0,32.0,10.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
64,62.0,nadam,mse,relu,relu,100.0,32.0,10.0,1.0,10.0,0.0,4699860238336.0,4699860238336.0,1251512.5,70.82243347167969,1.0,2167916.0,2.7490415573120117,0.5289031736657247,0 days 09:08:40.950942
65,63.0,nadam,mse,relu,relu,100.0,100.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
66,64.0,nadam,mse,relu,relu,100.0,100.0,1.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
67,65.0,nadam,mse,relu,relu,100.0,100.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
68,66.0,nadam,mse,relu,relu,100.0,100.0,5.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
69,67.0,nadam,mse,relu,relu,100.0,100.0,5.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
70,68.0,nadam,mse,relu,relu,100.0,100.0,5.0,1.0,10.0,0.0,6151328497664.0,6151328497664.0,1569441.5,95.00173950195312,1.0,2480187.25,12.074748992919922,0.5289031736657247,0 days 09:08:40.950942
71,69.0,nadam,mse,relu,relu,100.0,100.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
