,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr
27,27.0,adam,mse,relu,relu,1.0,10.0,4.0,1.0,10.0,0.0,6484199473152.0,6484199473152.0,1634260.5,99.99729919433594,1.0,2546409.25,117.80935668945312,0.5289031736657247
28,28.0,adam,mse,relu,relu,1.0,10.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
29,29.0,adam,mse,relu,relu,1.0,10.0,10.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
30,30.0,adam,mse,relu,relu,1.0,10.0,10.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
31,31.0,adam,mse,relu,relu,1.0,10.0,10.0,1.0,10.0,0.0,6484089896960.0,6484089896960.0,1634239.75,99.9957275390625,1.0,2546387.5,108.5857162475586,0.5289031736657247
32,32.0,adam,mse,relu,relu,1.0,32.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
33,33.0,adam,mse,relu,relu,1.0,32.0,1.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
34,34.0,adam,mse,relu,relu,1.0,32.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
35,35.0,adam,mse,relu,relu,1.0,32.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
36,36.0,adam,mse,relu,relu,1.0,32.0,2.0,1.0,1.0,0.0,6484109819904.0,6484109819904.0,1634243.75,99.99603271484375,1.0,2546391.5,110.22216033935547,0.5289031736657247
37,37.0,adam,mse,relu,relu,1.0,32.0,2.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
38,38.0,adam,mse,relu,relu,1.0,32.0,2.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
39,39.0,adam,mse,relu,relu,1.0,32.0,2.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
40,40.0,adam,mse,relu,relu,1.0,32.0,4.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
41,41.0,adam,mse,relu,relu,1.0,32.0,4.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
42,42.0,adam,mse,relu,relu,1.0,32.0,4.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
43,43.0,adam,mse,relu,relu,1.0,32.0,4.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
44,44.0,adam,mse,relu,relu,1.0,32.0,10.0,1.0,1.0,0.0,6484355186688.0,6484355186688.0,1634289.75,99.99955749511719,1.0,2546439.75,154.2442626953125,0.5289031736657247
45,45.0,adam,mse,relu,relu,1.0,32.0,10.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
46,46.0,adam,mse,relu,relu,1.0,32.0,10.0,1.0,4.0,0.0,6484240367616.0,6484240367616.0,1634268.0,99.99791717529297,1.0,2546417.25,123.21166229248047,0.5289031736657247
47,47.0,adam,mse,relu,relu,1.0,32.0,10.0,1.0,10.0,0.0,6483895386112.0,6483895386112.0,1634203.625,99.99293518066406,1.0,2546349.5,98.9068374633789,0.5289031736657247
